"verdict","slug","title","status","featured","driveFolder","heroFiles","expectedFirst","supabaseFirst","airtableFirst","notes"
"PASS","atlas-briefcase-vintage","Atlas Briefcase · Vintage","available","true","atlas-briefcase-vintage","Hero-atlas-briefcase-vintage.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp",""
"PASS","atlas-field-briefcase","Atlas Field Briefcase","available","true","atlas-field-briefcase","Hero-atlas-field-briefcase-pdp-04.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp",""
"WARN","atlas-kilim-duffle","Atlas Kilim Duffle","available","true","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-duffle-pdp-white.webp","no matching Drive Hero-* source found"
"PASS","atlas-kilim-rucksack","Atlas Kilim Rucksack","available","true","atlas-kilim-rucksack","Hero- atlas-kilim-rucksack-pdp.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp",""
"WARN","atlas-messenger-laptop","Atlas Messenger · Laptop","available","true","atlas-messenger-laptop","Hero-Atlas Messenger · Laptop.png; Hero-atlas-messenger-laptop.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp","multiple Hero-* files: Hero-Atlas Messenger · Laptop.png; Hero-atlas-messenger-laptop.png"
"PASS","atlas-weekender-cognac","Atlas Weekender · Cognac","available","true","atlas-weekender-cognac","Hero- atlas-weekender-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp",""
"WARN","black-stitched-backpack","Black Stitched Backpack","reserved","false","","","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/black-stitched-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-01/black-stitched-backpack-pdp-white.webp","","no matching Drive Hero-* source found; no Airtable Products record found"
"WARN","classic-cognac-satchel","Classic Cognac Satchel","available","true","classic-cognac-satchel","Hero-classic-cognac-satchel-00.png; Hero-classic-cognac-satchel-01 copy.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp","multiple Hero-* files: Hero-classic-cognac-satchel-00.png; Hero-classic-cognac-satchel-01 copy.png"
"PASS","cognac-brogue-backpack","Cognac Brogue Backpack","available","true","cognac-brogue-backpack","Hero-cognac-brogue-backpack-pdp-06 copy.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp",""
"PASS","expedition-rolltop-cognac","Expedition Rolltop · Cognac","available","true","expedition-rolltop-cognac","Hero- expedition-rolltop-cognac.png","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp",""
